"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7"
"75705c4b1ac148a17d5b840e10f371c2","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Talaromyces purpureogenus","D_6__Talaromyces purpureogenus"
"f2d48ee4f43e8a75e70c749d2bd9bf53","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Talaromyces purpureogenus","D_6__Talaromyces purpureogenus"
"65d1346b603f14b243593cac289ab949","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"c0ea5f92485c000294c502340b48c316","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Aspergillago clavatoflava","D_6__Aspergillago clavatoflava"
"e4d7d2fd727c951093642c27e1da9a4a","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"0817c123169e966585b6f412389f92b4","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"b0b9479b67bd4d3c3e30a6fd0e126025","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"52cb60118bede07674aeceb4ca698de8","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria",NA,NA
"47accb6de94d7d8c98500409dc0a381c","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Aspergillus nomius","D_6__Aspergillus nomius"
"c4b0278be555a3341a4eb7002839ca58","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Aspergillus nidulans FGSC A4","D_6__Aspergillus nidulans FGSC A4"
"0ecadc1fbca9e9faf6642c41930129e7","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Aspergillus nidulans FGSC A4","D_6__Aspergillus nidulans FGSC A4"
"04f2805bb4a2e88b57d99bbc0f2c479f","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Aspergillus nidulans FGSC A4","D_6__Aspergillus nidulans FGSC A4"
